Subject,Rep,Point,Theta,R
S2,5,1,0.638652081,76.0762
S2,6,1,0.638652081,74.8571
S2,7,1,0.638652081,58.4313
S2,5,2,0.701771122,75.5315
S2,6,2,0.701771122,73.8437
S2,7,2,0.701771122,62.0134
S2,5,3,0.760487609,74.5956
S2,6,3,0.760487609,72.6574
S2,7,3,0.760487609,66.7751
S2,5,4,0.815643445,73.5084
S2,6,4,0.815643445,72.0724
S2,7,4,0.815643445,69.8957
S2,5,5,0.868201696,72.6221
S2,6,5,0.868201696,71.9198
S2,7,5,0.868201696,71.1388
S2,5,6,0.918516204,72.2091
S2,6,6,0.918516204,71.9257
S2,7,6,0.918516204,71.3575
S2,5,7,0.966844062,72.202
S2,6,7,0.966844062,71.9978
S2,7,7,0.966844062,71.4147
S2,5,8,1.013728051,72.4079
S2,6,8,1.013728051,72.195
S2,7,8,1.013728051,71.5788
S2,5,9,1.059280059,72.6458
S2,6,9,1.059280059,72.5169
S2,7,9,1.059280059,72.0004
S2,5,10,1.103583023,72.8343
S2,6,10,1.103583023,72.8184
S2,7,10,1.103583023,72.6737
S2,5,11,1.147026209,72.9273
S2,6,11,1.147026209,72.8931
S2,7,11,1.147026209,73.3317
S2,5,12,1.189633602,72.9265
S2,6,12,1.189633602,72.7553
S2,7,12,1.189633602,73.5655
S2,5,13,1.231418999,72.8542
S2,6,13,1.231418999,72.575
S2,7,13,1.231418999,72.8131
S2,5,14,1.272701071,72.7866
S2,6,14,1.272701071,72.4726
S2,7,14,1.272701071,71.161
S2,5,15,1.313362277,72.8064
S2,6,15,1.313362277,72.4413
S2,7,15,1.313362277,69.4036
S2,5,16,1.3536949,72.9053
S2,6,16,1.3536949,72.3284
S2,7,16,1.3536949,68.5588
S2,5,17,1.393671618,73.1176
S2,6,17,1.393671618,71.6167
S2,7,17,1.393671618,68.8826
S2,5,18,1.433263155,73.492
S2,6,18,1.433263155,69.8143
S2,7,18,1.433263155,69.5221
S2,5,19,1.472739263,73.8144
S2,6,19,1.472739263,66.9765
S2,7,19,1.472739263,70.0393
S2,5,20,1.512062564,73.2798
S2,6,20,1.512062564,64.4901
S2,7,20,1.512062564,70.3759
S2,5,21,1.551195072,71.1999
S2,6,21,1.551195072,63.4886
S2,7,21,1.551195072,70.4654
S2,5,22,1.590397582,68.3937
S2,6,22,1.590397582,63.8005
S2,7,22,1.590397582,70.2533
S2,5,23,1.62953009,66.4626
S2,6,23,1.62953009,64.7197
S2,7,23,1.62953009,69.8213
S2,5,24,1.668853391,66.181
S2,6,24,1.668853391,65.8511
S2,7,24,1.668853391,69.3431
S2,5,25,1.708329499,66.7186
S2,6,25,1.708329499,67.0168
S2,7,25,1.708329499,68.8763
S2,5,26,1.747921035,67.1047
S2,6,26,1.747921035,67.735
S2,7,26,1.747921035,68.0261
S2,5,27,1.787897753,67.1207
S2,6,27,1.787897753,67.6702
S2,7,27,1.787897753,66.2122
S2,5,28,1.828230377,66.7879
S2,6,28,1.828230377,66.7424
S2,7,28,1.828230377,63.2646
S2,5,29,1.868891583,66.1157
S2,6,29,1.868891583,65.4181
S2,7,29,1.868891583,60.4044
S2,5,30,1.910173654,64.9577
S2,6,30,1.910173654,64.0441
S2,7,30,1.910173654,58.7588
S2,5,31,1.951959052,63.5633
S2,6,31,1.951959052,62.9544
S2,7,31,1.951959052,57.9599
S2,5,32,1.994566445,62.2912
S2,6,32,1.994566445,62.2351
S2,7,32,1.994566445,57.5189
S2,5,33,2.03800963,61.3658
S2,6,33,2.03800963,61.3585
S2,7,33,2.03800963,56.9891
S2,5,34,2.082312595,60.6537
S2,6,34,2.082312595,59.8082
S2,7,34,2.082312595,55.7466
S2,5,35,2.127864602,59.7164
S2,6,35,2.127864602,57.9004
S2,7,35,2.127864602,53.4801
S2,5,36,2.174748592,58.4326
S2,6,36,2.174748592,56.2931
S2,7,36,2.174748592,50.9122
S2,5,37,2.22307645,57.2591
S2,6,37,2.22307645,55.1394
S2,7,37,2.22307645,49.2177
S2,5,38,2.273390958,56.6165
S2,6,38,2.273390958,54.2982
S2,7,38,2.273390958,48.5875
S2,5,39,2.325949208,56.5549
S2,6,39,2.325949208,54.3434
S2,7,39,2.325949208,48.5749
S2,5,40,2.381105044,56.8162
S2,6,40,2.381105044,55.7884
S2,7,40,2.381105044,48.7043
S2,5,41,2.439821531,57.1964
S2,6,41,2.439821531,58.2332
S2,7,41,2.439821531,48.7933
S2,5,42,2.502940572,57.4603
S2,6,42,2.502940572,60.0206
S2,7,42,2.502940572,48.8278
